model,variable,OR,95CI_L,95CI_U,OR (95%CI),Pvalue
model1,constant term,0.07231424936474899,0.06566538738122475,0.0796363330779998,0.072 (0.066-0.080),<0.001
model1,IAN score(per 1-point increment),1.3943572826047657,1.3605236468805242,1.4290322965064062,1.394 (1.361-1.429),<0.001
model2,IAN Medium risk  (vs low risk),1.8584522321778152,1.6960846573450323,2.036363388071196,1.858 (1.696-2.036),<0.001
model2,IAN High risk  (vs low risk),3.470777296012631,3.141114913591202,3.835037994437571,3.471 (3.141-3.835),<0.001
