Model,Train_AUC,Valid_AUC,Gap,PR_AUC_Valid,Sens,Spec
XGBoost,0.8219,0.8028,0.0192,0.520,0.702,0.767
Stacking (LR+RF+XGB),0.8280,0.8014,0.0266,0.513,0.774,0.697
Random Forest,0.8286,0.8000,0.0286,0.514,0.723,0.749
Full LR (L1),0.7897,0.7918,-0.0021,0.501,0.690,0.774
Full LR (balanced),0.7899,0.7918,-0.0019,0.493,0.724,0.744
IAN+Demo (Logistic),0.7666,0.7632,0.0034,0.461,0.633,0.775
IAN comp (Logistic),0.6437,0.6257,0.0180,0.286,0.468,0.712
IAN (Logistic),0.6410,0.6235,0.0175,0.274,0.653,0.526
