"id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval","Exposure","Outcome"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992",0.00076607893149884,0.00315552617534477,0.808443933076199,"Albumin","CKD_CKDGen"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992",-0.00168650795941337,0.00373788894311814,0.652287206207199,"Albumin","CKD_FinnGen"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969",0.000629724933083042,0.00266004461724082,0.813029725528261,"Hemoglobin","CKD_CKDGen"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969",-0.00473225514199324,0.00300426750542538,0.116148172696121,"Hemoglobin","CKD_FinnGen"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977",0.00266431073560835,0.00256577850537431,0.299994871863392,"Neutrophil","CKD_CKDGen"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977",-0.00610682066772902,0.00333911043097815,0.0683634629774353,"Neutrophil","CKD_FinnGen"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984",-0.00314728681848799,0.00216078188089186,0.146224194085456,"Lymphocyte","CKD_CKDGen"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984",-0.00104686286547961,0.00336278761218985,0.755739431314496,"Lymphocyte","CKD_FinnGen"
