"Exposure","Outcome","nsnp","b","se","p"
"Albumin","CKD_CKDGen",191,0.000399736359124188,0.0627054947229148,0.994913662502204
"Albumin","CKD_FinnGen",226,0.171317809861171,0.0810850721825369,0.0346165492507847
"Hemoglobin","CKD_CKDGen",292,-0.066280539319078,0.060814364735668,0.275764707488401
"Hemoglobin","CKD_FinnGen",341,-0.0626579003031846,0.0667946833631404,0.348209886614621
"Neutrophil","CKD_CKDGen",277,-0.0533765346122215,0.05361325871212,0.319452021388362
"Neutrophil","CKD_FinnGen",317,0.00842262148462141,0.0694187424947931,0.903429140326682
"Lymphocyte","CKD_CKDGen",321,-0.0674951655936455,0.043320813659122,0.11922592720732
"Lymphocyte","CKD_FinnGen",377,-0.0295300273258189,0.0672210952845768,0.660446327949288
