Exposure,Outcome,nSNP,OR_CI,p_IVW,p_Egger,p_Q,Steiger
Albumin,CKD_CKDGen,191,1.000 (0.885-1.131),0.994913662502204,0.808,0.0179,TRUE
Albumin,CKD_FinnGen,226,1.187 (1.012-1.391),0.0346165492507847,0.652,0.166,TRUE
Hemoglobin,CKD_CKDGen,292,0.936 (0.831-1.054),0.275764707488401,0.813,2.07e-18,TRUE
Hemoglobin,CKD_FinnGen,341,0.939 (0.824-1.071),0.348209886614621,0.116,0.18,TRUE
Neutrophil,CKD_CKDGen,277,0.948 (0.853-1.053),0.319452021388362,0.3,3.58e-06,TRUE
Neutrophil,CKD_FinnGen,317,1.008 (0.880-1.155),0.903429140326682,0.0684,0.0758,TRUE
Lymphocyte,CKD_CKDGen,321,0.935 (0.859-1.018),0.11922592720732,0.146,0.0817,TRUE
Lymphocyte,CKD_FinnGen,377,0.971 (0.851-1.108),0.660446327949288,0.756,0.00348,TRUE
