model,variable,OR,95CI_L,95CI_U,OR (95%CI),Pvalue
model3,IAN,1.2817012703978858,1.2460003633963306,1.318425094244553,1.282 (1.246-1.318),<0.001
model3,RIDAGEYR,1.0550202076257138,1.0522984504378088,1.0577490046055968,1.055 (1.052-1.058),<0.001
model3,RIAGENDR,0.8621309657171305,0.7945967005126008,0.9354050948976539,0.862 (0.795-0.935),<0.001
model3,race_Non-Hispanic Black,1.2005563943108035,1.0709730109227669,1.345818840643501,1.201 (1.071-1.346),0.0017
model3,race_Non-Hispanic White,1.0858608197776063,0.9797624801291829,1.2034485335390983,1.086 (0.980-1.203),0.1164
model3,race_other,0.9700116290190502,0.8488431014540694,1.1084764178684967,0.970 (0.849-1.108),0.6547
