"id.exposure","id.outcome","exposure","outcome","snp_r2.exposure","snp_r2.outcome","correct_causal_direction","steiger_pval","Exposure","Outcome"
"ebi-a-GCST90025992","ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Chronic kidney disease || id:ieu-a-1102",0.0409344464370043,0.000516458227198918,TRUE,0,"Albumin","CKD_CKDGen"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS",0.0530282245817883,0.00874968692648237,TRUE,NA,"Albumin","CKD_FinnGen"
"ebi-a-GCST90025969","ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","Chronic kidney disease || id:ieu-a-1102",0.0633725884112626,0.00108979695558365,TRUE,0,"Hemoglobin","CKD_CKDGen"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS",0.0750463726135037,0.0122018806406531,TRUE,NA,"Hemoglobin","CKD_FinnGen"
"ebi-a-GCST90025977","ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","Chronic kidney disease || id:ieu-a-1102",0.0613315060171026,0.000776594553878472,TRUE,0,"Neutrophil","CKD_CKDGen"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS",0.069951970745994,0.00678135309963173,TRUE,NA,"Neutrophil","CKD_FinnGen"
"ebi-a-GCST90025984","ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","Chronic kidney disease || id:ieu-a-1102",0.0761103419933554,0.000796933604843612,TRUE,0,"Lymphocyte","CKD_CKDGen"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS",0.0853582300470061,0.0363307437087818,TRUE,NA,"Lymphocyte","CKD_FinnGen"
